Date,Close,Index,Month,Returns (%)
2011-06-01,1320.6400146484375,S&P 500,June,-1.8257461652479323
2011-07-01,1292.280029296875,S&P 500,July,-2.147442530666621
2011-08-01,1218.8900146484375,S&P 500,August,-5.679110795232889
2011-09-01,1131.4200439453125,S&P 500,September,-7.1761988080896515
2011-10-01,1253.300048828125,S&P 500,October,10.772303843744147
2011-11-01,1246.9599609375,S&P 500,November,-0.5058715107011391
2011-12-01,1257.5999755859375,S&P 500,December,0.8532763666636134
2012-01-01,1312.4100341796875,S&P 500,January,4.358306270498535
2012-02-01,1365.6800537109375,S&P 500,February,4.058946376811723
2012-03-01,1408.469970703125,S&P 500,March,3.133231453144192
2012-04-01,1397.9100341796875,S&P 500,April,-0.7497452372495994
2012-05-01,1310.3299560546875,S&P 500,May,-6.2650725714543665
2012-06-01,1362.1600341796875,S&P 500,June,3.955498222833631
2012-07-01,1379.3199462890625,S&P 500,July,1.259757420478791
2012-08-01,1406.5799560546875,S&P 500,August,1.9763369506085704
2012-09-01,1440.6700439453125,S&P 500,September,2.4236153617775313
2012-10-01,1412.1600341796875,S&P 500,October,-1.9789409716293949
2012-11-01,1416.1800537109375,S&P 500,November,0.28467166850427716
2012-12-01,1426.18994140625,S&P 500,December,0.7068230956284616
2013-01-01,1498.1099853515625,S&P 500,January,5.0428096466868855
2013-02-01,1514.6800537109375,S&P 500,February,1.1060648765041536
2013-03-01,1569.18994140625,S&P 500,March,3.5987723982872977
2013-04-01,1597.5699462890625,S&P 500,April,1.8085767779890016
2013-05-01,1630.739990234375,S&P 500,May,2.0762811683057825
2013-06-01,1606.280029296875,S&P 500,June,-1.4999301595580827
2013-07-01,1685.72998046875,S&P 500,July,4.946207991308538
2013-08-01,1632.969970703125,S&P 500,August,-3.1298019479343964
2013-09-01,1681.550048828125,S&P 500,September,2.974952325919533
2013-10-01,1756.5400390625,S&P 500,October,4.459575276194472
2013-11-01,1805.81005859375,S&P 500,November,2.8049471367328715
2013-12-01,1848.3599853515625,S&P 500,December,2.3562791975445974
2014-01-01,1782.5899658203125,S&P 500,January,-3.5582905955811595
2014-02-01,1859.449951171875,S&P 500,February,4.31170301781616
2014-03-01,1872.3399658203125,S&P 500,March,0.6932165418227054
2014-04-01,1883.949951171875,S&P 500,April,0.6200789153414155
2014-05-01,1923.5699462890625,S&P 500,May,2.103028007328045
2014-06-01,1960.22998046875,S&P 500,June,1.9058331749470137
2014-07-01,1930.6700439453125,S&P 500,July,-1.5079830845342368
2014-08-01,2003.3699951171875,S&P 500,August,3.7655295579825276
2014-09-01,1972.2900390625,S&P 500,September,-1.5513837249453988
2014-10-01,2018.050048828125,S&P 500,October,2.3201460667203078
2014-11-01,2067.56005859375,S&P 500,November,2.453358864631494
2014-12-01,2058.89990234375,S&P 500,December,-0.4188587515997044
2015-01-01,1994.989990234375,S&P 500,January,-3.1040805838410623
2015-02-01,2104.5,S&P 500,February,5.48925108906233
2015-03-01,2067.889892578125,S&P 500,March,-1.7396107114219572
2015-04-01,2085.510009765625,S&P 500,April,0.8520819822535275
2015-05-01,2107.389892578125,S&P 500,May,1.0491382304589791
2015-06-01,2063.110107421875,S&P 500,June,-2.1011671979729973
2015-07-01,2103.840087890625,S&P 500,July,1.9742029435184882
2015-08-01,1972.1800537109375,S&P 500,August,-6.258081825586559
2015-09-01,1920.030029296875,S&P 500,September,-2.6442831280001466
2015-10-01,2079.360107421875,S&P 500,October,8.298311781266655
2015-11-01,2080.409912109375,S&P 500,November,0.050486911033487125
2015-12-01,2043.93994140625,S&P 500,December,-1.7530185032692547
2016-01-01,1940.239990234375,S&P 500,January,-5.07353220469523
2016-02-01,1932.22998046875,S&P 500,February,-0.41283603090035426
2016-03-01,2059.739990234375,S&P 500,March,6.599111444005845
2016-04-01,2065.300048828125,S&P 500,April,0.26993982833325436
2016-05-01,2096.949951171875,S&P 500,May,1.5324602525288444
2016-06-01,2098.860107421875,S&P 500,June,0.09109212401243738
2016-07-01,2173.60009765625,S&P 500,July,3.5609800753315435
2016-08-01,2170.949951171875,S&P 500,August,-0.12192428990193127
2016-09-01,2168.27001953125,S&P 500,September,-0.12344511393173052
2016-10-01,2126.14990234375,S&P 500,October,-1.942567890903446
2016-11-01,2198.81005859375,S&P 500,November,3.4174521829295035
2016-12-01,2238.830078125,S&P 500,December,1.8200762441865859
2017-01-01,2278.8701171875,S&P 500,January,1.7884358198382522
2017-02-01,2363.639892578125,S&P 500,February,3.719816006681631
2017-03-01,2362.719970703125,S&P 500,March,-0.03891971352694146
2017-04-01,2384.199951171875,S&P 500,April,0.9091208748854607
2017-05-01,2411.800048828125,S&P 500,May,1.1576251246328662
2017-06-01,2423.409912109375,S&P 500,June,0.4813775207812565
2017-07-01,2470.300048828125,S&P 500,July,1.9348826001101882
2017-08-01,2471.64990234375,S&P 500,August,0.0546433019853243
2017-09-01,2519.360107421875,S&P 500,September,1.9302978562167672
2017-10-01,2575.260009765625,S&P 500,October,2.218813506615125
2017-11-01,2647.580078125,S&P 500,November,2.8082627806563343
2017-12-01,2673.610107421875,S&P 500,December,0.9831630594270502
2018-01-01,2823.81005859375,S&P 500,January,5.617870412552817
2018-02-01,2713.830078125,S&P 500,February,-3.89473718793677
2018-03-01,2640.8701171875,S&P 500,March,-2.688449860055664
2018-04-01,2648.050048828125,S&P 500,April,0.27187749953683227
2018-05-01,2705.27001953125,S&P 500,May,2.16083418545836
2018-06-01,2718.3701171875,S&P 500,June,0.48424362676078303
2018-07-01,2816.2900390625,S&P 500,July,3.602155617289915
2018-08-01,2901.52001953125,S&P 500,August,3.0263211276748248
2018-09-01,2913.97998046875,S&P 500,September,0.42942874264617625
2018-10-01,2711.739990234375,S&P 500,October,-6.94033560936963
2018-11-01,2760.169921875,S&P 500,November,1.7859356654779779
2018-12-01,2506.85009765625,S&P 500,December,-9.177689467997252
2019-01-01,2704.10009765625,S&P 500,January,7.868440166582613
2019-02-01,2784.489990234375,S&P 500,February,2.9728889343927145
2019-03-01,2834.39990234375,S&P 500,March,1.7924256249588488
2019-04-01,2945.830078125,S&P 500,April,3.9313498313737982
2019-05-01,2752.06005859375,S&P 500,May,-6.57777313668354
2019-06-01,2941.760009765625,S&P 500,June,6.89301639982407
2019-07-01,2980.3798828125,S&P 500,July,1.3128152166957952
2019-08-01,2926.4599609375,S&P 500,August,-1.8091627240523933
2019-09-01,2976.739990234375,S&P 500,September,1.7181177931020697
2019-10-01,3037.56005859375,S&P 500,October,2.0431770513684056
2019-11-01,3140.97998046875,S&P 500,November,3.4047037714499906
2019-12-01,3230.780029296875,S&P 500,December,2.858981890573009
2020-01-01,3225.52001953125,S&P 500,January,-0.16280928190489652
2020-02-01,2954.219970703125,S&P 500,February,-8.411048363840312
2020-03-01,2584.590087890625,S&P 500,March,-12.511928240892821
2020-04-01,2912.429931640625,S&P 500,April,12.68440381652789
2020-05-01,3044.31005859375,S&P 500,May,4.528181966555822
2020-06-01,3100.2900390625,S&P 500,June,1.838839651392421
2020-07-01,3271.1201171875,S&P 500,July,5.510132148044367
2020-08-01,3500.31005859375,S&P 500,August,7.006466690171775
2020-09-01,3363.0,S&P 500,September,-3.9227970178423055
2020-10-01,3269.9599609375,S&P 500,October,-2.766578622137972
2020-11-01,3621.6298828125,S&P 500,November,10.75456354438591
2020-12-01,3756.070068359375,S&P 500,December,3.712145909357001
2021-01-01,3714.239990234375,S&P 500,January,-1.1136660755445171
